bugs.cumulativeComments,"[{'Date': '20190301', 'Comments': 9}, {'Date': '20190302', 'Comments': 21}, {'Date': '20190303', 'Comments': 23}, {'Date': '20190304', 'Comments': 31}, {'Date': '20190305', 'Comments': 44}, {'Date': '20190306', 'Comments': 46}, {'Date': '20190307', 'Comments': 51}, {'Date': '20190308', 'Comments': 54}, {'Date': '20190309', 'Comments': 54}, {'Date': '20190310', 'Comments': 54}, {'Date': '20190311', 'Comments': 56}, {'Date': '20190312', 'Comments': 61}, {'Date': '20190313', 'Comments': 67}, {'Date': '20190314', 'Comments': 77}, {'Date': '20190315', 'Comments': 98}, {'Date': '20190316', 'Comments': 105}, {'Date': '20190317', 'Comments': 112}, {'Date': '20190318', 'Comments': 131}, {'Date': '20190319', 'Comments': 155}, {'Date': '20190320', 'Comments': 162}, {'Date': '20190321', 'Comments': 165}, {'Date': '20190322', 'Comments': 176}, {'Date': '20190323', 'Comments': 180}, {'Date': '20190324', 'Comments': 181}, {'Date': '20190325', 'Comments': 207}, {'Date': '20190326', 'Comments': 219}, {'Date': '20190327', 'Comments': 231}, {'Date': '20190328', 'Comments': 234}, {'Date': '20190329', 'Comments': 235}, {'Date': '20190330', 'Comments': 235}, {'Date': '20190331', 'Comments': 235}, {'Date': '20190401', 'Comments': 242}, {'Date': '20190402', 'Comments': 264}, {'Date': '20190403', 'Comments': 282}, {'Date': '20190404', 'Comments': 284}, {'Date': '20190405', 'Comments': 287}, {'Date': '20190406', 'Comments': 287}, {'Date': '20190407', 'Comments': 287}, {'Date': '20190408', 'Comments': 289}, {'Date': '20190409', 'Comments': 305}, {'Date': '20190410', 'Comments': 310}, {'Date': '20190411', 'Comments': 332}, {'Date': '20190412', 'Comments': 333}]"
bugs.cumulativeNewBugs,"[{'Bugs': 0, 'Date': '20190301'}, {'Bugs': 1, 'Date': '20190302'}, {'Bugs': 1, 'Date': '20190303'}, {'Bugs': 2, 'Date': '20190304'}, {'Bugs': 7, 'Date': '20190305'}, {'Bugs': 8, 'Date': '20190306'}, {'Bugs': 10, 'Date': '20190307'}, {'Bugs': 11, 'Date': '20190308'}, {'Bugs': 11, 'Date': '20190309'}, {'Bugs': 11, 'Date': '20190310'}, {'Bugs': 12, 'Date': '20190311'}, {'Bugs': 13, 'Date': '20190312'}, {'Bugs': 15, 'Date': '20190313'}, {'Bugs': 18, 'Date': '20190314'}, {'Bugs': 19, 'Date': '20190315'}, {'Bugs': 20, 'Date': '20190316'}, {'Bugs': 21, 'Date': '20190317'}, {'Bugs': 25, 'Date': '20190318'}, {'Bugs': 26, 'Date': '20190319'}, {'Bugs': 27, 'Date': '20190320'}, {'Bugs': 28, 'Date': '20190321'}, {'Bugs': 29, 'Date': '20190322'}, {'Bugs': 30, 'Date': '20190323'}, {'Bugs': 30, 'Date': '20190324'}, {'Bugs': 32, 'Date': '20190325'}, {'Bugs': 34, 'Date': '20190326'}, {'Bugs': 36, 'Date': '20190327'}, {'Bugs': 36, 'Date': '20190328'}, {'Bugs': 37, 'Date': '20190329'}, {'Bugs': 37, 'Date': '20190330'}, {'Bugs': 37, 'Date': '20190331'}, {'Bugs': 39, 'Date': '20190401'}, {'Bugs': 40, 'Date': '20190402'}, {'Bugs': 42, 'Date': '20190403'}, {'Bugs': 43, 'Date': '20190404'}, {'Bugs': 43, 'Date': '20190405'}, {'Bugs': 43, 'Date': '20190406'}, {'Bugs': 43, 'Date': '20190407'}, {'Bugs': 43, 'Date': '20190408'}, {'Bugs': 47, 'Date': '20190409'}, {'Bugs': 49, 'Date': '20190410'}, {'Bugs': 49, 'Date': '20190411'}, {'Bugs': 49, 'Date': '20190412'}]"
bugs.cumulativeNewUsers,"[{'Users': 0, 'Date': '20190309'}, {'Users': 0, 'Date': '20190310'}, {'Users': 0, 'Date': '20190330'}, {'Users': 0, 'Date': '20190331'}, {'Users': 0, 'Date': '20190406'}, {'Users': 0, 'Date': '20190407'}]"
bugs.cumulativePatches,"[{'Patches': 0, 'Date': '20190301'}, {'Patches': 0, 'Date': '20190302'}, {'Patches': 0, 'Date': '20190303'}, {'Patches': 0, 'Date': '20190304'}, {'Patches': 0, 'Date': '20190305'}, {'Patches': 0, 'Date': '20190306'}, {'Patches': 0, 'Date': '20190307'}, {'Patches': 0, 'Date': '20190308'}, {'Patches': 0, 'Date': '20190309'}, {'Patches': 0, 'Date': '20190310'}, {'Patches': 0, 'Date': '20190311'}, {'Patches': 0, 'Date': '20190312'}, {'Patches': 0, 'Date': '20190313'}, {'Patches': 0, 'Date': '20190314'}, {'Patches': 0, 'Date': '20190315'}, {'Patches': 0, 'Date': '20190316'}, {'Patches': 0, 'Date': '20190317'}, {'Patches': 0, 'Date': '20190318'}, {'Patches': 0, 'Date': '20190319'}, {'Patches': 0, 'Date': '20190320'}, {'Patches': 0, 'Date': '20190321'}, {'Patches': 0, 'Date': '20190322'}, {'Patches': 0, 'Date': '20190323'}, {'Patches': 0, 'Date': '20190324'}, {'Patches': 0, 'Date': '20190325'}, {'Patches': 0, 'Date': '20190326'}, {'Patches': 0, 'Date': '20190327'}, {'Patches': 0, 'Date': '20190328'}, {'Patches': 0, 'Date': '20190329'}, {'Patches': 0, 'Date': '20190330'}, {'Patches': 0, 'Date': '20190331'}, {'Patches': 0, 'Date': '20190401'}, {'Patches': 0, 'Date': '20190402'}, {'Patches': 0, 'Date': '20190403'}, {'Patches': 0, 'Date': '20190404'}, {'Patches': 0, 'Date': '20190405'}, {'Patches': 0, 'Date': '20190406'}, {'Patches': 0, 'Date': '20190407'}, {'Patches': 0, 'Date': '20190408'}, {'Patches': 0, 'Date': '20190409'}, {'Patches': 0, 'Date': '20190410'}, {'Patches': 0, 'Date': '20190411'}, {'Patches': 0, 'Date': '20190412'}]"
bugs.cumulativereplies,"[{'Date': '20190309', 'Replies': 0}, {'Date': '20190310', 'Replies': 0}, {'Date': '20190330', 'Replies': 0}, {'Date': '20190331', 'Replies': 0}, {'Date': '20190406', 'Replies': 0}, {'Date': '20190407', 'Replies': 0}]"
bugs.cumulativerequests,"[{'Requests': 0, 'Date': '20190309'}, {'Requests': 0, 'Date': '20190310'}, {'Requests': 0, 'Date': '20190330'}, {'Requests': 0, 'Date': '20190331'}, {'Requests': 0, 'Date': '20190406'}, {'Requests': 0, 'Date': '20190407'}]"
bugs.cumulativerequestsreplies,"[{'Requests': 0, 'Date': '20190309', 'Replies': 0}, {'Requests': 0, 'Date': '20190310', 'Replies': 0}, {'Requests': 0, 'Date': '20190330', 'Replies': 0}, {'Requests': 0, 'Date': '20190331', 'Replies': 0}, {'Requests': 0, 'Date': '20190406', 'Replies': 0}, {'Requests': 0, 'Date': '20190407', 'Replies': 0}]"
bugs.duplicateBugs,"[{'Bugs': 0, 'Date': '20190309'}, {'Bugs': 0, 'Date': '20190310'}, {'Bugs': 0, 'Date': '20190330'}, {'Bugs': 0, 'Date': '20190331'}, {'Bugs': 0, 'Date': '20190406'}, {'Bugs': 0, 'Date': '20190407'}]"
bugs.fixedBugs,"[{'Bugs': 0, 'Date': '20190309'}, {'Bugs': 0, 'Date': '20190310'}, {'Bugs': 0, 'Date': '20190330'}, {'Bugs': 0, 'Date': '20190331'}, {'Bugs': 0, 'Date': '20190406'}, {'Bugs': 0, 'Date': '20190407'}]"
bugs.invalidBugs,"[{'Bugs': 0, 'Date': '20190309'}, {'Bugs': 0, 'Date': '20190310'}, {'Bugs': 0, 'Date': '20190330'}, {'Bugs': 0, 'Date': '20190331'}, {'Bugs': 0, 'Date': '20190406'}, {'Bugs': 0, 'Date': '20190407'}]"
bugs.newUsers,"[{'Users': 0, 'Date': '20190309'}, {'Users': 0, 'Date': '20190310'}, {'Users': 0, 'Date': '20190330'}, {'Users': 0, 'Date': '20190331'}, {'Users': 0, 'Date': '20190406'}, {'Users': 0, 'Date': '20190407'}]"
bugs.newbugs,"[{'Bugs': 0, 'Date': '20190301'}, {'Bugs': 1, 'Date': '20190302'}, {'Bugs': 0, 'Date': '20190303'}, {'Bugs': 1, 'Date': '20190304'}, {'Bugs': 5, 'Date': '20190305'}, {'Bugs': 1, 'Date': '20190306'}, {'Bugs': 2, 'Date': '20190307'}, {'Bugs': 1, 'Date': '20190308'}, {'Bugs': 0, 'Date': '20190309'}, {'Bugs': 0, 'Date': '20190310'}, {'Bugs': 1, 'Date': '20190311'}, {'Bugs': 1, 'Date': '20190312'}, {'Bugs': 2, 'Date': '20190313'}, {'Bugs': 3, 'Date': '20190314'}, {'Bugs': 1, 'Date': '20190315'}, {'Bugs': 1, 'Date': '20190316'}, {'Bugs': 1, 'Date': '20190317'}, {'Bugs': 4, 'Date': '20190318'}, {'Bugs': 1, 'Date': '20190319'}, {'Bugs': 1, 'Date': '20190320'}, {'Bugs': 1, 'Date': '20190321'}, {'Bugs': 1, 'Date': '20190322'}, {'Bugs': 1, 'Date': '20190323'}, {'Bugs': 0, 'Date': '20190324'}, {'Bugs': 2, 'Date': '20190325'}, {'Bugs': 2, 'Date': '20190326'}, {'Bugs': 2, 'Date': '20190327'}, {'Bugs': 0, 'Date': '20190328'}, {'Bugs': 1, 'Date': '20190329'}, {'Bugs': 0, 'Date': '20190330'}, {'Bugs': 0, 'Date': '20190331'}, {'Bugs': 2, 'Date': '20190401'}, {'Bugs': 1, 'Date': '20190402'}, {'Bugs': 2, 'Date': '20190403'}, {'Bugs': 1, 'Date': '20190404'}, {'Bugs': 0, 'Date': '20190405'}, {'Bugs': 0, 'Date': '20190406'}, {'Bugs': 0, 'Date': '20190407'}, {'Bugs': 0, 'Date': '20190408'}, {'Bugs': 4, 'Date': '20190409'}, {'Bugs': 2, 'Date': '20190410'}, {'Bugs': 0, 'Date': '20190411'}, {'Bugs': 0, 'Date': '20190412'}]"
